req_id,category,description,priority,design_element,verification_method,research_ref,status
FR-001,Functional,"IF Unit: Fetch 32-bit instructions, PC increment + branch/jump/trap target override",P0,IF_stage_pc_gen,Directed tests: PC sequence verification against expected trace; random instruction stream PC check; trap target verification,"B1(RV32I ISA §2.3), B9(TTP010 5-stage IF), B4(L10:PC logic), B3(encoding table)",verified
FR-002,Functional,"ID Unit: Decode all RV32I instructions (40 unique), generate control signals, detect illegal instructions",P0,ID_stage_decoder,Exhaustive decode test: every RV32I instruction produces correct control signals; fuzz test random 32-bit patterns for illegal-instruction trap,"B1(RV32I ISA §2.4-2.8), B3(encoding table), B4(L10:decode signals), B12(TTP041:immediate gen)",verified
FR-003,Functional,"EX Unit: ALU operations (ADD/SUB/SLT/SLTU/AND/OR/XOR/SLL/SRL/SRA), branch condition evaluation, effective address computation",P0,EX_stage_alu,Per-instruction ALU result verification against Spike GRM; randomized operand testing; edge case testing (max/min values, shift by 0/31),"B1(RV32I ALU ops), B5(Roy §7:adder architectures), B4(L10:funct7 discrimination), B21(P&H §4.5:ALU design)",verified
FR-004,Functional,"MEM Unit: Load/store operations (LB/LH/LW/LBU/LHU/SB/SH/SW) with byte-enable and sign/zero extension",P0,MEM_stage_lsu,Memory access test suite: all load/store variants, aligned and misaligned addresses; byte-enable verification; sign-extension verification,"B1(RV32I §2.3:loads/stores), B9(TTP010:LSU), B10(TTP021:byte-enable pattern), B3(encoding table)",verified
FR-005,Functional,"WB Unit: Writeback ALU/memory/PC+4/CSR result to register file; x0 write suppression",P0,WB_stage_wb_mux,Register file content verification after each instruction; x0 invariance check; result mux selection verification,"B4(L10:WB mux), B9(TTP010:WB stage), B21(P&H §4.7:writeback), B1(RV32I:x0=zero)",verified
FR-006,Functional,"Register File: 32x32-bit GPRs, x0 hardwired zero, 2-read 1-write ports",P0,register_file,Register file read/write verification: all 32 registers tested; x0 always zero; concurrent read/write behavior; forwarding bypass verification,"B5(Roy §5:DPRAM design), B11(TTP029:rotate RF), B12(TTP041:VHDL RF), B16(GAP006:NEORV32 RF options)",verified
FR-007,Functional,"Data Forwarding: EX/MEM and MEM/WB results forward to EX stage inputs; RAW hazard detection and resolution",P0,forwarding_unit,Random instruction stream test with forwarding-aware scoreboard; verify every RAW hazard resolved; verify forwarding priority (EX/MEM > MEM/WB),"B21(P&H §4.5-4.7:forwarding), B4(L10:EX→EX forwarding), B9(TTP010:a3→a2 forwarding), B8(Ibex:forwarding)",verified
FR-008,Functional,"Load-Use Hazard: Detect load-use dependency, insert one-cycle stall (bubble in EX, freeze IF/ID)",P0,hazard_detection_unit,Directed test: every load-use pattern; verify stall count = 1 per occurrence; verify no stall for store-after-load or non-dependent instructions,"B21(P&H §4.7:load-use stall), B4(L10:load-use hazard), B9(TTP010:valid_load_a5), B8(Ibex:load stall)",verified
FR-009,Functional,"Branch/Jump: Evaluate branch condition, flush IF/ID on taken branch; unconditional jump flush; 2-cycle taken penalty",P0,branch_resolution,Directed test: all branch types (BEQ/BNE/BLT/BLTU/BGE/BGEU) taken and not-taken; JAL/JALR target verification; flush verification via PC trace,"B21(P&H §4.8:branch hazards), B4(L10:branch resolution), B9(TTP010:2-cycle flush), B7(NEORV32:branch FSM)",verified
FR-010,Functional,"CSR Access: Machine-mode CSR subset (misa/mstatus/mtvec/mepc/mcause/mie/mip) with CSRRW/CSRRS/CSRRC variants",P0,csr_block,Directed CSR read/write test for every CSR and instruction variant; read-only CSR write-ignore test; atomic read-modify-write test,"B2(Privileged Spec §2.1-2.2:CSR map), B11(TTP029:CSR+trap), B4(L10:CSR decode), B14(riscv-tests:CSR tests)",verified
FR-011,Functional,"Exception/Trap: Illegal instruction, ECALL, EBREAK traps; mepc/mcause/mstatus update; MRET recovery",P0,trap_handler,Directed trap test: illegal instruction, ECALL, EBREAK; verify CSR state after trap; MRET PC and mstatus restoration test,"B2(Privileged Spec §3.1.13-14:traps), B11(TTP029:machine-mode traps), B7(NEORV32:TRAP_ENTER/EXIT), B14(riscv-tests:trap tests)",verified
FR-012,Functional,"Reset: Synchronous reset flushes pipeline, initializes PC and CSRs to documented values",P0,reset_controller,Reset sequence verification: CSR values after reset; PC at reset vector; first instruction fetch after deassertion; pipeline NOP after reset,"B6(Taraate §3.4:reset strategies), B2(Privileged Spec:reset values), B5(Roy §4:FF reset), B9(TTP010:reset-to-index)",verified
FR-013,Functional,"Pipeline Control: Stall/flush logic for pipeline registers between all 5 stages",P0,pipeline_control,Formal verification of pipeline control FSM; directed test for all stall+flush combinations; no deadlock proof,"B5(Roy §6:FSM design), B21(P&H §4.7:pipeline control), B9(TTP010:pipeline ctrl), B15(riscv-formal:properties)",verified
NFR-001,Non-Functional,"Clock frequency: SHALL operate at >= 50 MHz under sky130hd worst-case PVT (SS/125C/1.62V)",P0,top_level_sdc,OpenSTA static timing analysis: zero setup violations at 50 MHz; critical path report,"B18(sky130hd timing), B5(Roy §13:STA), B6(Taraate §4:synthesis), B19(ORFS:sky130hd flow)",verified
NFR-002,Non-Functional,"Clock domain: Single global synchronous clock; no CDC; no clock gating",P0,clock_tree,Design review: single clock source; Yosys check-timing report: single clock domain; no gated clock structures,"B6(Taraate:single-domain design), B9(TTP010:single clk), B11(TTP029:64MHz single domain), B20(Verilator:lint for gated clocks)",verified
NFR-003,Non-Functional,"Target PDK: SkyWater 130nm HD (sky130hd) standard cell library",P0,tech_mapping,Yosys synthesis using sky130hd liberty; OpenROAD PnR with sky130hd LEF; DRC clean against sky130hd,"B18(sky130hd library), B19(ORFS:sky130hd platform), B16(GAP006:sky130 core comparison), B9(TTP010:sky130 proven)",verified
NFR-004,Non-Functional,"Gate count: SHOULD not exceed 15,000 NAND2-equivalent gates",P1,synthesis_report,Yosys post-synthesis gate count report; verify < 15k gates; alert if > 20k,"B16(GAP006:core comparison), B8(Ibex:16.85-66kGE), B13(SERV:2.1kGE), B17(PicoRV32:3-5kGE)",verified
NFR-005,Non-Functional,"CPI: SHOULD average < 1.5 cycles per instruction for typical integer workloads",P1,performance_counters,Simulation with instruction trace: CPI measured over Dhrystone/CoreMark subset; stall and flush counts reported,"B21(P&H §4.7:CPI analysis), B8(Ibex:CoreMark/MHz), B4(L10:CPI estimates), B9(TTP010:2-cycle br penalty)",verified
NFR-006,Non-Functional,"Pipeline depth: SHALL have exactly 5 stages (IF/ID/EX/MEM/WB)",P0,pipeline_registers,Design review: verify 5 pipeline register boundaries; instruction traversal through all 5 stages,"B21(P&H §4.5:5-stage pipeline), B9(TTP010:5-stage a0-a5), B4(L10:3-stage contrast)",verified
NFR-007,Non-Functional,"Toolchain: SHALL use only open-source tools (Yosys/Verilator/cocotb/OpenROAD/OpenSTA/KLayout)",P0,makefile_flow,Verilator lint passes --Wall --lint-only; Yosys synthesis clean; cocotb testbench runs; OpenROAD flow completes,"B20(Verilator), B18+B19(Yosys+ORFS), B12(TTP041:cocotb+GLS flow), B6(Taraate:synth flow)",verified
NFR-008,Non-Functional,"Reset sync: SHOULD use 2-stage flip-flop synchronizer with synchronous deassertion",P1,reset_synchronizer,Verification of reset synchronizer: 2-FF chain; all flops see reset deassertion on same edge; no metastability path,"B6(Taraate §3.4:sync reset), B5(Roy §4:FF types), B9(TTP010:reset strategy), B10(TTP021:synchronizer pattern)",verified
IFR-001,Interface,"I-Memory I/F: 32-bit address out, 32-bit instruction in; internal, read-only, no bus protocol",P0,imem_interface,Verify instruction fetch address sequence; verify instruction data correctly captured; no external handshake,"B1(RV32I:32-bit instruction), B10(TTP021:Harvard IMEM), B9(TTP010:IMEM interface), B5(Roy §5:SPROM design)",verified
IFR-002,Interface,"D-Memory I/F: 32-bit addr/wdata/rdata, 4-bit byte-enable, write-enable; internal, no bus protocol",P0,dmem_interface,Verify load/store address/data/be/we correctness for all LSU operations; byte-enable verification per instruction type,"B1(RV32I:loads/stores), B9(TTP010:DMEM+CSR), B10(TTP021:byte-enable), B5(Roy §5:SPRAM design)",verified
IFR-003,Interface,"No external bus protocol: SHALL NOT implement Wishbone/AXI/TileLink; core-only internal interfaces",P0,top_level_ports,Design review: verify no bus protocol signals in top-level port list; only IFR-001 and IFR-002 memory interface ports present,"B10(TTP021:no bus protocol), B9(TTP010:no Wishbone/AXI), ARC-006(Harvard internal)",verified
IFR-004,Interface,"Interrupt inputs: irq_timer and irq_external signals connected to mip CSR bits",P1,interrupt_inputs,Directed interrupt test: assert irq_timer/irq_external; verify mip bit set; verify trap taken when MIE=1 and MIE bit set,"B2(Privileged Spec:mip/mie), B11(TTP029:interrupt architecture), B14(riscv-tests:interrupt tests)",verified
ARC-001,Constraint,"ISA compliance: RV32I base integer ISA per RISC-V spec v2.1+; Zicsr machine-mode CSR subset",P0,isa_decoder,RISC-V compliance test suite (riscv-tests RV32I); compare against Spike golden model for all instructions,"B1(Unprivileged Spec), B2(Privileged Spec), B14(riscv-tests), B15(riscv-formal), B3(encoding table)",verified
ARC-002,Constraint,"PDK: SkyWater 130nm HD (sky130hd) only; no commercial PDKs",P0,pdk_config,Synthesis with sky130hd liberty; DRC with sky130hd rules; no commercial cell references,"B18(sky130hd library), B19(ORFS), B16(GAP006), B9,B10,B11,B12(all sky130 tapeouts)",verified
ARC-003,Constraint,"Open-source toolchain only: Yosys, Verilator, cocotb, OpenROAD, OpenSTA, KLayout/Magic",P0,build_scripts,All build targets complete with open-source tools only; no EDA license checks in flow,"B20(Verilator), B6(Taraate:synth flow mapping), B19(ORFS), B12(TTP041:cocotb+GLS)",verified
ARC-004,Constraint,"Single clock domain: exactly one clock, no dividers, no muxes, no derived clocks",P0,clock_distribution,Yosys check-timing: single clock; STA: all paths in same clock group; no CDC paths,"B6(Taraate:single-domain), B9-B12(all TTP single-domain), B11(TTP029:64MHz single)",verified
ARC-005,Constraint,"5-stage pipeline: IF/ID/EX/MEM/WB with pipeline registers between each stage pair",P0,pipeline_structure,Design review: count pipeline registers; verify no stage combining/splitting; instruction traversal test,"B21(P&H:5-stage), B9(TTP010:a0-a5), B5(Roy §6:pipeline registers)",verified
ARC-006,Constraint,"Harvard architecture: separate instruction fetch and data access paths internally",P0,imem_dmem_split,Verify separate I-mem and D-mem port lists; no shared address/data bus between I and D paths,"B10(TTP021:Harvard), B9(TTP010:IMEM+DMEM), B5(Roy §5:DPRAM), B17(PicoRV32:separate paths)",verified
ARC-007,Constraint,"Machine-mode only: no U-mode or S-mode; mstatus.MPP not implemented",P0,privilege_level,Verify no user/supervisor CSR fields; verify mstatus.MPP absent; ECALL always traps to M-mode,"B2(Privileged Spec:M-mode), B11(TTP029:M-mode CSR), B17(PicoRV32:M-only)",verified
